idtram,nombre,secretaria,dependencia,visitas_totales,year
1135,Registro Estatal Profesional,Secretaría de Educación Pública,Secretaría de Educación Pública,10214,2023
975,Certificación de clave CURP,Secretaría de Gobierno,Dirección del Registro del Estado Familiar,10036,2023
409,Revalidación del Registro de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,9847,2023
1256,Expedición de Duplicado de Certificados; Reposición de Certificado de terminación de estudios de CONALEPH,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,9846,2023
1237,Denuncia de Vehículos Robados,Procuraduría General de Justicia,Procuraduría General de Justicia,9596,2023
540,Constancia de Uso de Suelo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,9587,2023
1462,Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,9420,2023
1268,Apostillas,Secretaría de Gobierno,Secretaría de Gobierno,9122,2023
360,Sistema Empresarial de Financiamiento Hidalgo (SIEFIH - Financiamiento Hidalguense para Tu Negocio).,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,9033,2023
1171,Atención a donadores de sangre,Secretaría de Salud,Secretaría de Salud,8630,2023
1001,Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,8589,2023
1684,Concesiones de Transporte Público,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,8405,2023
9292,Cambio de Propietario,Secretaría de Hacienda,Secretaría de Hacienda,8234,2023
1482,Proceso y Trámite de Adopción,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,8151,2023
1555,"Constancias de calificaciones, reportes de evaluación y certificación de educación básica",Secretaría de Educación Pública,Instituto Hidalguense de Educación,8048,2023
1486,Verificación Vehicular para Adquisición de Holograma Exento,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,7976,2023
1095,Patrocinio Jurídico.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,7889,2023
1487,Pago de multa por no portar Holograma Vigente,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,7838,2023
1477,Casa de la Mujer Hidalguense,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,7831,2023
1194,"Aviso de Funcionamiento y de Responsable Sanitario de farmacias, boticas y droguerías",Secretaría de Salud,Secretaría de Salud,7693,2023
1318,Constancia de Vehículo No Robado,Procuraduría General de Justicia,Procuraduría General de Justicia,7646,2023
3763,Apertura de Placa de Funcionamiento (giro ordinario),Pachuca de Soto,Ayuntamiento de Pachuca de Soto,7547,2023
382,Solicitud de pipa por desabasto,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,7192,2023
3811,Emisión de Boleta de Impuesto Predial y Pago,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,7106,2023
1082,"Recepción de quejas, denuncias y sugerencias en contra de servidores públicos de la PGJ",Procuraduría General de Justicia,Procuraduría General de Justicia,7056,2023
732,Solicitud de Prórroga de Verificación Vehicular,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,7054,2023
828,Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,6917,2023
412,Revalidación del Registro de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,6835,2023
910,Ferias del empleo,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,6733,2023
1023,Impartición de Justicia en Conflictos Laborales del Sector Privado,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,6708,2023
3813,Matrimonio Civil,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,6508,2023
3733,Esterilización quirúrgica de perros y/o gatos,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,6352,2023
252,Actualización del Registro de Proveedores (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,6349,2023
698,Opinión Técnica en Materia Ambiental,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,6229,2023
336,Cambio de nombre,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,6219,2023
702,Obtención del Registro como Generador de Residuos de Manejo Especial.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,5855,2023
1481,"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,5817,2023
430,Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,5798,2023
388,Actualización del Registro de Proveedores (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,5772,2023
5805,Licitaciones Públicas,Oficialía Mayor,Oficialía Mayor,5731,2023
761,Atención Ciudadana,Procuraduría General de Justicia,Procuraduría General de Justicia,5690,2023
6583,Devolución Vehículos Recuperados,Procuraduría General de Justicia,Procuraduría General de Justicia,5565,2023
1536,Autorización en materia de impacto ambiental del transporte de residuos de manejo especial generados en procesos industriales y de servicios.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,5508,2023
6748,Aplicación de pruebas rápidas COVID-19,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,5455,2023
4276,Constancia de concubinato,Santiago de Anaya,Ayuntamiento de Santiago de Anaya,5375,2023
1520,Dictaminación técnica de la Cédula de Operación Anual,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,5306,2023
1128,Autorizaciones provisionales para profesionistas,Secretaría de Educación Pública,Secretaría de Educación Pública,5300,2023
262,Baja temporal del servicio de agua,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,5275,2023
1193,"Solicitud de Licencia Sanitaria para farmacias, boticas y droguerías con venta de medicamentos controlados",Secretaría de Salud,Secretaría de Salud,5240,2023
9229,Canje de Placas,Secretaría de Hacienda,Secretaría de Hacienda,5168,2023
6783,Taller Matrimonio Consciente,Pachuca de Soto,Ayuntamiento de Pachuca de Soto - DIF,5079,2023
1531,Expedición de Licencia Ambiental Estatal,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,5038,2023
1017,Por Búsqueda de Testamento y Expedición de Constancia a) Ordinario b) Urgente,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,5020,2023
1736,Baja de vehículo particular,Secretaría de Hacienda,Secretaría de Hacienda,4945,2023
1745,Copias certificadas de pagos de Control Vehicular,Secretaría de Hacienda,Secretaría de Hacienda,4886,2023
798,Renovación de tarjetón para operadoras y operadores del Servicio Público de transporte convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,4879,2023
592,Autorización de Subdivisión,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,4864,2023
602,Autorización de Fraccionamiento,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,4844,2023
1744,Impuesto sobre Tenencia y Refrendo Vehicular (transporte público),Secretaría de Hacienda,Secretaría de Hacienda,4831,2023
1054,Expedición de Actas Circunstanciadas y/o Constancia de Extravío,Procuraduría General de Justicia,Procuraduría General de Justicia,4503,2023
7105,"Mi Primer Empleo, Mi Primer Salario.",Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,4491,2023
752,Reposición de certificado de verificación vehicular,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,4415,2023
1168,"Opinión de Técnica de Seguridad o Factibilidad para la construcción de fraccionamientos, condominios, edificios públicos y asentamientos humanos",Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,4372,2023
1706,Declaración de Impuestos Estatales,Secretaría de Hacienda,Secretaría de Hacienda,4307,2023
1747,Inscripción al Registro Estatal de Contribuyentes,Secretaría de Hacienda,Secretaría de Hacienda,4251,2023
432,Asesoría Jurídica para Atención a Víctimas,Procuraduría General de Justicia,Procuraduría General de Justicia,4234,2023
263,Aplicación de subsidios,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,4223,2023
1476,Autorización para prestar Servicios de Seguridad Privada en el Estado,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,4222,2023
1746,Reposición de Tarjeta de Circulación por Pérdida o Actualización Datos,Secretaría de Hacienda,Secretaría de Hacienda,4187,2023
981,Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,4140,2023
7694,"Reencuentro Familiar ""Abrazando Destinos""",Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,4130,2023
437,"Recepción y Seguimiento de Quejas, Denuncias y Solicitudes de Contraloría Social.",Secretaría de Contraloría,Secretaría de Controlaría,4103,2023
6730,Donación de Planta Forestal Para Reforestación,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,4050,2023
831,Denuncia por Delitos cometidos en Contra de la Familia y Mujeres,Procuraduría General de Justicia,Procuraduría General de Justicia,4049,2023
609,Entrega de paquetes de Conejos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,3917,2023
5575,Ampliación de Periodo de Verificación Vehícular Extemporánea,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,3848,2023
639,Dictamen de Estudio de Impacto Urbano y Vial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,3793,2023
3528,"Acta Certificada De: Nacimiento, Defunción, Matrimonio, Divorcio",Chapulhuacán,Ayuntamiento de Chapulhuacán,3765,2023
6719,Instituto de Formación Profesional,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,3739,2023
1174,Registro de Programas Internos de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,3709,2023
740,Registro de Director Responsable y Corresponsable,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,3681,2023
1677,"Contratación de agua potable y alcantarillado sanitario para tarifas: Comercial, Industrial y Pública",Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,3646,2023
862,Mediación y Conciliación en Materia Penal,Procuraduría General de Justicia,Procuraduría General de Justicia,3527,2023
606,Por trámite de avalúo y traslado de Dominio de la Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,3524,2023
4904,Reinscripción UPMH,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,3518,2023
1216,"Aviso de Funcionamiento para productos relacionados a: Alimentos, Bebidas, Tabaco, Aseo, Limpieza, Perfumería y Belleza",Secretaría de Salud,Secretaría de Salud,3499,2023
3808,Solicitud de Avalúo Catastral,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,3482,2023
1018,Por informe de aviso de testamento,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,3429,2023
3687,Constancia de Alineamiento y Número oficial,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,3406,2023
1175,Registro Estatal de Consultores en Materia de Protección Civil,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,3398,2023
3785,Registro de Nacimiento,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,3375,2023
1599,Actualización al Padrón de Contratistas (Persona Física),Secretaría de Contraloría,Secretaría de Controlaría,3338,2023
622,Autorización para Venta y Escrituración en Régimen de Propiedad en Condominio,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,3307,2023
3781,"Inscripción en libros de sentencia judicial (Divorcio, identidad de persona, concubinato y adopción)",Pachuca de Soto,Ayuntamiento de Pachuca de Soto,3283,2023
797,Expedición de Tarjetón para Operadoras y Operadores del Servicio Público de Transporte Convencional,Secretaría de Movilidad y Transporte,Sistema de Transporte Convencional de Hidalgo,3247,2023
1036,Atención integral al hombre de 15 a 59 años de edad,Secretaría de Salud,Secretaría de Salud,3238,2023
1690,Servicio Social y Prácticas Profesionales,Oficialía Mayor,Oficialía Mayor,3233,2023
1301,Expedición de Registro de Personal Docente de instituciones particulares de educación superior,Secretaría de Educación Pública,Secretaría de Educación Pública,3223,2023
1180,Atención integral a mayores de 60 años en el Centro Estatal de Atención Geriátrica Integral (CESAGI),Secretaría de Salud,Secretaría de Salud,3076,2023
1557,Autorización para impartir educación inicial y/o básica en el estado,Secretaría de Educación Pública,Instituto Hidalguense de Educación,3065,2023
7365,"Expedición de información catastral, sin certificación.",Secretaría de Hacienda,Instituto Catastral,3058,2023
6467,Expedición de tarjeta Predial,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,3042,2023
1439,Constancia de Viabilidad,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,3040,2023
3734,Vacunación antirrábica de perros y/o gatos,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,3034,2023
1218,"Aviso de Funcionamiento de: Consultorios, Laboratorios, Clínicas Dentales, Ópticas, Servicios de Asistencia Social, Ambulancias.",Secretaría de Salud,Secretaría de Salud,3015,2023
594,Asesoría para el Desarrollo de Productos y la Comercialización.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,2996,2023
500,Servicio de Atención Psicológica,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,2940,2023
443,Atención de Quejas y Denuncias,Secretaría de Contraloría,Secretaría de Controlaría,2916,2023
7078,"Prestación de servicios del Polideportivo, Gimnasio Presidente Miguel Alemán y el estadio de béisbol G. Alfonso Corona del Rosal del Instituto Hidalguense del Deporte",Secretaría de Educación Pública,Instituto Hidalguense del Deporte,2905,2023
686,Evaluación del Estudio de Riesgo Ambiental y Programa de Prevención de Accidentes.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,2902,2023
1020,Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,2902,2023
621,Autorización de Venta de Lotes,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,2898,2023
5704,Cartilla Militar Nacional,Tizayuca,Ayuntamiento de Tizayuca,2894,2023
3774,Constancia de Radicación,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,2885,2023
965,Asesoría para la obtención de Visas Humanitarias.,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,2873,2023
5518,Alta de vehículo de transporte público,Secretaría de Hacienda,Secretaría de Hacienda,2861,2023
1602,Actualización al Padrón de Contratistas (Persona Moral),Secretaría de Contraloría,Secretaría de Controlaría,2853,2023
504,Expedición de escrituras de lote comercial y/o Segundo Testimonio del lote comercial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,2794,2023
462,Coordinación de Centros de Atención Infantil (CAI),Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,2785,2023
5517,Baja Administrativa de Vehículos,Secretaría de Hacienda,Secretaría de Hacienda,2775,2023
684,Examen Diagnóstico CECyTEH,Secretaría de Educación Pública,Colegio de Estudios Científicos y Tecnológicos del Estado de Hidalgo,2749,2023
990,Copias Certificadas en Libros o Folios (Registro Público de la Propiedad y del Comercio),Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,2744,2023
257,Falta de líquido en tomas domiciliarias,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,2723,2023
1213,Solicitud de Licencia Sanitaria para servicios urbanos de fumigación y control de plagas.,Secretaría de Salud,Secretaría de Salud,2694,2023
1448,Atención jurídica en materia familiar.,Secretaría de Gobierno,Centro de Justicia Para Mujeres,2691,2023
748,"Inscripción de Alfabetización, Primaria y Secundaria Abierta de Educación para Adultos",Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,2665,2023
979,Inscripción a cursos de inglés,Secretaría de Educación Pública,Instituto Hidalguense de Educación,2634,2023
933,“Ya Soy Hidalguense” Documentos de Identidad Jurídica y Documentos Civiles,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,2603,2023
6471,Constancia de no Adeudo,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,2602,2023
1502,Quejas y Sugerencias sobre el Servicio de Transporte Tuzobús,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,2577,2023
1121,Equivalencia de Estudios de Educación Media Superior,Secretaría de Educación Pública,Secretaría de Educación Pública,2576,2023
1776,Autorización para el Uso y Aprovechamiento del Derecho de Vía Estatal,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,2554,2023
1170,Opinión técnica de seguridad o factibilidad para industrias,Secretaría de Gobierno,Subsecretaría de Protección Civil y Gestión de Riesgos,2550,2023
338,Aclaración por cargo de material en recibo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,2535,2023
1595,Autorización de Bitácora de Generación de Residuos de Manejo Especial,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,2514,2023
6067,Licencia de funcionamiento comercial.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,2502,2023
1608,Pago de bases,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,2479,2023
7044,Afiliación/Renovación de vigencia de derechos.,Secretaría de Salud,Régimen Estatal de Protección Social en Salud del Estado de Hidalgo,2476,2023
480,Revisión de Bases,Secretaría de Contraloría,Secretaría de Controlaría,2467,2023
903,Documentos de viaje Internacional y Asuntos Migratorios (Visas),Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,2465,2023
1504,Expedición Tarjeta Preferente Tuzobús del Adulto Mayor,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,2452,2023
618,Alerta AMBER en Hidalgo,Procuraduría General de Justicia,Procuraduría General de Justicia,2409,2023
603,Banco de Semen e Inseminación Artificial en Ovinos.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,2372,2023
339,Constitución de Sociedades Cooperativas.,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,2352,2023
1004,"Inscripción de convenios para fraccionar, lotificar o subdividir un predio (zonas urbanas, residenciales e industriales). (Registro Público de la Propiedad y del Comercio)",Secretaría de Gobierno,Dirección General del Instituto de la Función Registral,2308,2023
6723,"Dictamen de autorización para derribo, poda o trasplante de Árbol (es)",Pachuca de Soto,Ayuntamiento de Pachuca de Soto,2272,2023
5946,Pago de Predial,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,2244,2023
1596,Aprobación del Plan de Manejo.,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,2230,2023
8956,Opinión de Cumplimiento de Obligaciones Fiscales Estatales,Secretaría de Hacienda,Secretaría de Hacienda,2215,2023
579,Análisis Físico Químico y Bacteriológico del Agua,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Agua y Alcantarillado,2196,2023
651,Evaluación de Informe preventivo,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,2175,2023
1181,Atención Integral a Mayores de 20 años con Enfermedades Crónico-Degenerativas (UNEME EC),Secretaría de Salud,Secretaría de Salud,2166,2023
337,Verificación de medidor por altos o bajos consumos,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,2150,2023
7064,Crece Mujer Emprendedora,Secretaría de Gobierno,Instituto Hidalguense de las Mujeres,2147,2023
1186,Apoyos con Financiamiento,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,2147,2023
927,"Servicio de seguridad en las modalidades de protección, custodia, vigilancia y traslado.",Secretaría de Seguridad Pública,Policía Industrial Bancaria del Estado de Hidalgo,2127,2023
1547,Levantamiento Topográfico de poligonales (Catastral),Secretaría de Hacienda,Instituto Catastral,2114,2023
878,Atención integral a la mujer de 15 a 59 años de edad,Secretaría de Salud,Secretaría de Salud,2113,2023
1064,Asesoría Jurídica.,Secretaría de Gobierno,Dirección General del Instituto de Defensoría Pública,2083,2023
380,Servicio de desazolve con equipo hidroneumático (tipo vactor) con tarifa doméstica,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,2076,2023
1548,Levantamiento Topográficos de Predios (Catastral),Secretaría de Hacienda,Instituto Catastral,2067,2023
1019,Quejas administrativas en contra de los Notarios Públicos durante el ejercicio de su función.,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,2063,2023
3799,Búsqueda en archivo de antecedentes de pagos de impuesto predial.,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,2024,2023
6702,Sistema de Apertura Rápida de Empresas,Pachuca de Soto,Ayuntamiento de Pachuca de Soto,2019,2023
440,Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,2008,2023
