Idtram,Nombre,Modalidad,Secretaria,Dependencia,Domicilio,Visitas RUTS
1477,Casa de la Mujer Hidalguense,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 103 Colosio I 42088 Pachuca De Soto Pachuca De Soto,4658
1481,"Reporte de violencia o maltrato en contra de Niñas, Niños y Adolescentes",Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 118 Centro 42000 Pachuca De Soto Pachuca De Soto,8564
1504,Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Presencial,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,2841
1590,Por la Expedición y Entrega de un ejemplar del Periódico Oficial.,Presencial,Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,294
1608,Pago de bases Licitaciones Públicas Estatales,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard Ex Centro Minero Edificio 2B Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,1646
1677,"Contratación de Agua Potable y Alcantarillado Sanitario para Tarifas: Comercial, Industrial y Pública",Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,4916
1690,Vinculación al Servicio Social y Prácticas Profesionales,Presencial,Oficialía Mayor,Oficialía Mayor,Avenida 100 A Centro 42000 Pachuca De Soto Pachuca De Soto,6018
1691,Visita al museo de documentos históricos,Presencial,Oficialía Mayor,Oficialía Mayor,Calle 807 Centro 42000 Pachuca De Soto Pachuca De Soto,311
1693,Préstamo de documentos históricos,Presencial,Oficialía Mayor,Oficialía Mayor,Calle 807 Centro 42000 Pachuca De Soto Pachuca De Soto,740
1776,Autorización Para el Uso y Aprovechamiento del Derecho de Vía Estatal,En línea,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42030 Pachuca De Soto Pachuca De Soto,1680
1777,Expedición de Oficio de Afectación o no Afectación del Derecho de Vía,En línea,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42000 Pachuca De Soto Pachuca De Soto,831
1778,Expedición de Oficio de Afectación de Vialidades y Señalamiento por Accidentes,En línea,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Boulevard No. 1120 Villa Aquiles Serdan 42030 Pachuca De Soto Pachuca De Soto,1770
4808,Becas Institucionales UPMH,Presencial,Secretaría de Educación Pública,Universidad Politécnica Metropolitana de Hidalgo,Boulevard 1009 San Javier 43860 Tolcayuca Tolcayuca,444
4856,Expedición Tarjeta Preferente Tuzobús para Personas con Discapacidad,Presencial,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,920
5572,"Por la certificación, expedición y entrega de un ejemplar del Periódico Oficial del Estado.",Presencial,Secretaría de Gobierno,Secretaría de Gobierno,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,138
6582,Quejas de Obra Pública,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Carretera Lote 4-B Fracción I Ex Hacienda La Concepción 42162 San Juan Tilcuautla San Agustín Tlaxiaca,1941
6583,Devolución Vehículos Recuperados,Presencial,Procuraduría General de Justicia,Procuraduría General de Justicia,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,7102
6584,Programa Infantil para el Fortalecimiento de los Valores y la Cultura de la Legalidad,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Carretera Lote 4-B Fracción I Ex Hacienda La Concepción 42162 San Juan Tilcuautla San Agustín Tlaxiaca,332
6717,Convocatoria del Instituto de Formación Profesional,Presencial,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Carretera Km. 0+500 San José Palma Gorda 42188 San José Palma Gorda Mineral De La Reforma,20368
7059,Solicitud de beca para alumnos del Centro de las Artes de Hidalgo.,Presencial,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,Calle S/N Centro 42000 Pachuca De Soto Pachuca De Soto,272
257,Sin Servicio de Agua en Toma Cuando se Encuentre Tapada,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,355
259,Construcción de Descargas Domiciliarias,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
260,Presupuesto para descargas domiciliarias,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,384
261,Cancelación Definitiva del Servicio de Agua y del Padrón Potable,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,407
262,Cancelación Temporal del Servicio de Agua con Medidor en el Exterior,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,1104
263,Apoyo al Consumo de Agua,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
265,Constancia de no adeudo de Agua Potable,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,3833
267,Constancia de no Instalación de Toma de Agua Potable,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,396
268,Recurso de Reconsideración,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
288,Cancelación Temporal del Servicio de Agua con Medidor en el Interior,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,195
315,Recurso de Inconformidad,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
316,Cambio de Tarifa por Uso Distinto al Contratado,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,330
318,Activación y Reconexión del Servicio de Agua,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
319,Sustitución de Medidor,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Industrial La Paz 42040 Pachuca De Soto Pachuca De Soto,
321,Sin Servicio de Agua en Toma Nueva,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,
323,Reconexión por Pago de Adeudo,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,
324,Reconexión del Servicio por Error de Corte,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Industrial La Paz 42040 Pachuca De Soto Pachuca De Soto,
332,Inscripción en el Padrón de Proveedores (Persona Física),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",29440
334,Servicio de inscripción a cursos de Formación de Capital Humano,Presencial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,343
336,Cambio de Nombre,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-b Morelos 42040 Pachuca De Soto Pachuca De Soto,2592
337,Verificación de Medidor por Altos o Bajos Consumos,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,440
338,Aclaración por Cargo de Material en Recibo,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,201
340,Contratación de Derivación de una Toma ya Existente,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,698
341,Copia de Documentos de Expedientes o Contrato,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Industrial La Paz 42040 Pachuca De Soto Pachuca De Soto,235
347,Solicitud de examen de admisión UTSH,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,2209
350,Inscripción UTSH,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,1654
351,Servicio de Diseño de Imagen Corporativa o Logotipo,Presencial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Calle 605 Venta Prieta 42080 Pachuca De Soto Pachuca De Soto,851
358,Reinscripción UTSH,Presencial,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,357
375,Error de lectura,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Industrial La Paz 42040 Pachuca De Soto Pachuca De Soto,264
376,Lectura no Tomada,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Calle 300-B Morelos 42040 Pachuca De Soto Pachuca De Soto,
378,Servicio de Desazolve en Línea General de Alcantarillado Sanitario y Pluvial,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,1958
380,Servicio de Desazolve con Equipo Hidroneumático (Tipo Vactor) con Tarifa Doméstica,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
381,Servicio de Desazolve con Equipo Hidroneumático (Tipo Vactor) con Tarifa No Domèstica,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
382,Servicio de Agua Potable a Usuarios por Desabasto (En Carro Cisterna),Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,9159
384,Inscripción en el Padrón de Proveedores (Persona Moral),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",44520
385,Paquete Empresarial de Análisis Fisicoquímicos para Agua Potable,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
386,Paquete Empresarial de Análisis Bacteriológicos para Agua Potable,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
388,Actualización del Registro de Proveedores (Persona Física),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 301 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",6494
391,Paquete Empresarial de Análisis Fisicoquímicos para Agua Residual,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,377
392,Inscripción al Padrón de Contratistas (Persona Moral),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",21436
406,Inscripción al Padrón de Contratistas (Persona Física),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",13991
407,"Verificación de Pipas para Transporte de Agua: Potable, No Potable y Agua Tratada",Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
409,Revalidación del Registro de Contratistas (Persona Moral),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 301 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",3496
410,Paquete Empresarial de Análisis Bacteriológicos para Agua Residual,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
411,"Registro de Pipas para Transporte de Agua Potable, No Potable y Tratada",Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida S/N Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
412,Revalidación del Registro de Contratistas (Persona Física),Presencial,Secretaría de Contraloría,Secretaría de Controlaría,"Carretera 0 Venta Prieta, Ex Centro Minero 42083 Pachuca De Soto Pachuca De Soto",4580
413,Reposición del Permiso de Descarga de Agua Residual por Perdida o Cambio de Datos,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
414,"Renovación de Permiso y Permiso de Descarga de Agua Residual, Industrial, Comercial y/o Servicios.",Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,1289
416,Resellos de Permisos de Descarga de Agua Residual,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,327
421,"Determinación de los Derechos de Conexión para los Servicios de Agua Potable y Alcantarillado Sanitario, para Desarrollos Habitacionales.",Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,543
423,Aclaración de Pago,Presencial,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,Avenida 200 Industrial La Paz 42092 Pachuca De Soto Pachuca De Soto,
429,Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Presencial,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle #104 Carlos Rovirosa 42082 Pachuca De Soto Pachuca De Soto,8733
430,Prestación de servicios del Complejo Deportivo Revolución Mexicana del Instituto Hidalguense del Deporte,Presencial,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,6429
435,Caja general del Sistema DIF Hidalgo,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,919
440,Capacitar con temas gerontológicos a los enlaces y/o personas que estén al frente de grupos de personas adultas mayores de los diferentes DIF Municipales.,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,215
442,"Talleres, Pláticas y Conferencias sobre Habilidades de vida para Niñas, Niños y Adolescentes",Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard s/n Periodistas 42060 Pachuca De Soto Pachuca De Soto,537
447,Expedición de Constancias de No inhabilitación,Presencial,Secretaría de Contraloría,Secretaría de Controlaría,Calle 301 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,94109
470,Centros de Desarrollo Comunitario Urbanos (CDC),Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 600 Morelos 42040 Pachuca De Soto Pachuca De Soto,1293
473,Renta de espacios culturales.,Presencial,Secretaría de Cultura,Consejo Estatal para la Cultura y las Artes de Hidalgo,Avenida S/N Centro 42040 Pachuca De Soto Pachuca De Soto,1109
475,"Acompañamiento, asistencia y seguimiento de proyectos de inversión",Presencial,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,Camino 305 Zona Plateada 42084 Pachuca De Soto Pachuca De Soto,550
476,Comercialización de prendas no desempeñadas,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 104 El Palmar 42030 Pachuca De Soto Pachuca De Soto,939
477,Escuela de Fútbol Instituto Hidalguense del Deporte,Presencial,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,6676
481,Consulta externa de pediatría y especialidades en el Hospital del Niño DIF Hidalgo,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,29439
482,Credencialización para Personas con Discapacidad Permanente,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Boulevard S/N El Palmar 42088 Pachuca De Soto Pachuca De Soto,4
484,"Apoyo con Estudios de gabinete, laboratorio y medicamentos",Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,985
489,Apoyo de Gastos Funerarios,Presencial,Organismos No Sectorizados,Sistema para el Desarrollo Integral de la Familia del Estado de Hidalgo,Calle 100 Centro 42000 Pachuca De Soto Pachuca De Soto,756
