Idtram,Tramite,TraNombre,Similitud (%),Visitas Totales,Solicitudes,Secretaria,Dependencia,Modalidad,Domicilio,tiempo_estimado_por_persona,unidad_tiempo,cantidad_atenciones_2022,cantidad_atenciones_2023,cantidad_atenciones_2024,nivel_digitalizacion,TipoTramite,TraPersona,TraResolucionesFavorables,TraResolucionesNegativas,NumRequisitos,NumFormatos,TraCosto,RangoMontoInicial,RangoMontoFinal,PermiteAgendarCita,AgendarCitaEnLinea,DescargaFormatos,ExisteAppTramite,ResolucionInmediata,Sector,QuienSolicita,ListRequisitos
8300,Becas Institucionales UTVM,Becas Institucionales UTVM,100,287,10971,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,Presencial,Carretera s/n El Nith 42300 El Nith Ixmiquilpan,,dias,,,,Nivel 1,Beca,Social,2500,535,3,,FALSO,,,0,0,,,,,Interesado,Ser Estudiante inscrito en un programa de Licenciatura o nivel Técnico Superior Universitario (TSU) | Promedio mayor o igual a 9.00 durante el mes inmediato anterior. | Ser estudiante regular
1268,Apostillas,Apostilla de la Haya ,60,9066,8933,Secretaría de Gobierno,Secretaría de Gobierno,Presencial,Ampliación S/N Centro 42000 Pachuca De Soto Pachuca De Soto,20,min,2255,3497,4534,Nivel 1,Otro,Social,3121,450,2,,VERDADERO,,,0,0,,,,,Representante legal | Interesado | Tutor | Padres | Tercero con carta poder,"Clave Única de Registro de Población (CURP) | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
1414,Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,Acreditación de Primaria y Secundaria Abierta de Educación para Adultos,100,1057,8343,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Presencial,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,6,dias,19515,7998,8323,Nivel 1,Acreditación,Social,7998,0,3,,FALSO,,,0,0,,,,,Interesado,Credencial o identificación oficial vigente | Evidencias de estudio de tu módulo. | Expediente digital 
828,Certificación de Primaria y Secundaria Abierta de Educación para Adultos,Certificación de Primaria y Secundaria Abierta de Educación para Adultos,100,1843,8153,Secretaría de Educación Pública,Instituto Hidalguense de Educación para Adultos,Presencial,Circuito s.n. San Juan Tilcuautla 42160 San Agustín Tlaxiaca San Agustín Tlaxiaca,9,dias,9132,7321,7707,Nivel 1,Certificación,Social,7321,0,2,,FALSO,,,0,0,,,,,Interesado,"Módulos acreditados del nivel de estudio correspondiente | Identificación Oficial (IFE, INE o Pasaporte Vigente)"
1244,(Inscripción y Reinscripción) por módulo CONALEPH.,Inscripción y Reinscripción por módulo CONALEPH,78.35051546,1178,7544,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Presencial,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,,dias,28,17,10,Nivel 1,Inscripción,Social,7544,0,6,,VERDADERO,,,0,0,,,,,Interesado | Padres,Evaluación diagnóstica de admisión aprobada | Constancia de estudios | Acta de nacimiento | Comprobante de Domicilio | Comprobante de Pago del trámite | Clave Única de Registro de Población (CURP)
1206,Reinscripción UPT,Reinscripción UPT,100,594,6841,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Presencial,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,,,,,,,Otro,Social,6872,0,1,,VERDADERO,14.27,71.96,,,,1,1,,Interesado,Comprobante de Pago del trámite
631,Educación Continua UTTT,Educación Continua UTTT,100,297,6810,Secretaría de Educación Pública,Universidad Tecnológica de Tula-Tepeji,Presencial,Calle 1000 El 61 42830 El Carmen (La Mesita) Tula De Allende,2,hrs,11211,2739,3130,Nivel 2,Otro,Ambos,1604,240,10,,VERDADERO,9.51,12.19,0,0,,,,,Interesado | Tutor | Padres,"Acta de nacimiento | Comprobante de Domicilio | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Examen de ubicación | Hoja de Registro del Participante | Comprobante de Pago del trámite | Llenado del formato de Identificación del Servicio | Aceptación de la propuesta técnica-económica | Realización de convenio marco y específico | Hoja de Registro del participante"
10839,Conciliación prejudicial laboral,Conciliación Prejudicial Laboral,93.75,711,6216,Secretaría de Trabajo y Previsión Social,Centro de Conciliación Laboral del Estado de Hidalgo,Presencial,Avenida 394 La Concepción 42160 San Juan Tilcuautla San Agustín Tlaxiaca,,,,,,,Convenio,Ambos,6205,1,,,FALSO,,,1,1,,0,0,,Interesado,
10973,Por Búsqueda de Testamento y Expedición de Constancia,Por Búsqueda de Testamento y Expedición de Constancia,100,109,6119,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Presencial,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,,dias,,,,,Constancia,Ambos,5759,0,1,1,VERDADERO,,,0,0,0,,,,Otro,FORMATO F7
6931,Reinscripción UTT,Reinscripción UTT,100,170,5914,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Presencial,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,1,dias,6496,6001,5588,Nivel 4.2,Reinscripción,Social,6717,0,2,,VERDADERO,,,,,,0,0,,Interesado,Ser Alumno Regular | Pago de derechos
6935,Credencial Institucional UTT,Credencial Institucional UTT,100,132,5914,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Presencial,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,1,dias,898,753,942,Nivel 4.2,Credencial,Social,1200,0,1,,FALSO,,,,,,0,1,,Interesado,"Ser estudiante inscrito o reinscrito en el cuatrimestre activo, correspondiente."
7561,Evaluación Segunda Oportunidad (ITSOEH),Evaluación segunda oportunidad (ITSOEH),94.87179487,765,5772,Secretaría de Educación Pública,Instituto Tecnológico Superior del Occidente del Estado de Hidalgo,Presencial,Carretera 0 Cinta larga 42700 Mixquiahuala De Juárez Mixquiahuala De Juárez,3,dias,1147,618,765,,Evaluación,Social,9556,0,1,,VERDADERO,,,0,0,,,,,Interesado,Comprobante de Pago del trámite
961,Asesoria en materia de Seguridad y Salud en el Trabajo,Asesoria en materia de Seguridad y Salud en el Trabajo,100,421,4650,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Presencial,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,,,,,,,Asesoría,Ambos,0,0,1,,FALSO,,,0,0,,,,,Interesado,Solicitud por escrito
694,Autorregulación Ambiental,Autorregulación Ambiental ,100,781,4200,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,Presencial,Calle 100 Adolfo López Mateos 42094 Pachuca De Soto Pachuca De Soto,25,dias,17,6,12,,Otro,Social,40,20,8,1,VERDADERO,,,0,0,1,,,,Otro | Representante legal | Interesado | Tutor | Padres | Tercero con carta poder,"Oficio de solicitud | Acreditación de la personalidad jurídica del promovente o representante legal | Título de propiedad inscrito en el Registro Público de la Propiedad y del Comercio, que corresponda o del documento que acredite la posesión o el derecho para realizar las actividades que se desarrollan | Licencia de uso de suelo para la totalidad de la superficie del proyecto, por el uso específico del caso y emitida por la Autoridad competente. | Opinión Técnica de Seguridad en materia de Protección Civil, emitida por la Subsecretaría de Protección Civil y Gestión de Riesgos de Gobierno del Estado de Hidalgo. | Plano Arquitectónico | Recibos o documentos que acrediten el suministro de servicios. | Formato para la Incorporación voluntaria al proceso de Autorregulación Ambiental."
1247,Póliza de Accidentes Personales Escolares en CONALEPH,Póliza de Accidentes Personales Escolares en CONALEPH,100,364,3908,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Presencial,Calle 4.5 Parque Industrial CANACINTRA 42083 Pachuquilla Mineral De La Reforma,,dias,3,0,3,Nivel 1,Incorporación,Social,3908,0,2,,VERDADERO,,,0,0,,,,,Interesado,Póliza emitida por la aseguradora. | Entregar póliza en Servicios Escolares
6938,Historial académico UTT,Historial académico UTT,100,200,3100,Secretaría de Educación Pública,Universidad Tecnológica de Tulancingo,Presencial,Calle 301 Las Presas 43642 Tulancingo De Bravo Tulancingo De Bravo,1,dias,234,261,238,Nivel 4.2,Otro,Social,7500,0,1,,FALSO,,,,,,0,1,,Interesado,Estar inscrito en la universidad
1020,Asesorías laborales sobre tus derechos y obligaciones como trabajador.,Asesorías laborales sobre tus derechos y obligaciones como trabajador.,100,2059,2974,Secretaría de Trabajo y Previsión Social,Secretaría de Trabajo y Previsión Social,Presencial,Carretera 1955 CANACINTRA 0 La Reforma (CANACINTRA) [Parque Industrial] Mineral De La Reforma,,,,,,,Asesoría,Social,0,0,1,,FALSO,,,1,1,,,,,Interesado,Ser Trabajador
477,Escuela de Fútbol Instituto Hidalguense del Deporte,Escuela de Fútbol Instituto Hidalguense del Deporte,100,6676,2794,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,Presencial,Calle - Periodistas 42060 Pachuca De Soto Pachuca De Soto,10,min,1112,2732,3943,Nivel 2,Credencial,Social,1500,200,4,1,VERDADERO,,,0,0,0,,,,Interesado,Acta de nacimiento | Certificado Médico | Comprobante de Pago del trámite | Fotografías del solicitante
334,Servicio de inscripción a cursos de Formación de Capital Humano,Servicio de inscripción a cursos de Formación de Capital Humano,100,343,2679,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,Presencial,Calle 605 Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,,,,,,,Otro,Ambos,0,0,,,FALSO,,,,,,,,,Representante legal | Interesado | Tutor,
1318,Constancia de Vehículo No Robado,Constancia de Vehículo No Robado,100,6336,2384,Procuraduría General de Justicia,Procuraduría General de Justicia,Presencial,Calle Km 84.5 SPAUAH 42083 Pachuca De Soto Pachuca De Soto,3,dias,1565,2769,2267,Nivel 3.1,Constancia,Ambos,0,0,11,1,VERDADERO,,,1,0,1,,,,Interesado,"Comprobante de Pago del trámite | Vehículo Físicamente | Factura del vehículo | Tarjeta de circulación | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Vehículo refacturado | Clave Única de Registro de Población (CURP) | Licencia de conducir | Registro Federal de Contribuyentes (RFC) | Titulo de propiedad y/o certificado de propiedad | Pedimento de Importación y/o Constancia de Inscripción"
1288,Permiso provisional para conducir,Permiso provisional para conducir,100,13373,2310,Secretaría de Seguridad Pública,Secretaría de Seguridad Pública,Presencial,Calle 301 Valle de San Javier 0 Pachuca De Soto Pachuca De Soto,15,min,1800,2316,3200,Nivel 1,Licencia,Social,2316,0,7,1,VERDADERO,,,1,0,0,,,,Interesado | Tutor | Padres,"Clave Única de Registro de Población (CURP) | Acta de nacimiento | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Domicilio | Certificado Médico | Examen de manejo teoríco práctico | Comprobante de Pago del trámite"
358,Reinscripción UTSH,Reinscripción UTSH,100,357,2153,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,Presencial,Carretera Km. 100 Tramo Pachuca-Huejutla 43200 Zacualtipán De Ángeles Zacualtipán De Ángeles,,,,,,,Reinscripción,Social,2153,0,1,,VERDADERO,,,0,0,,,,,Interesado,Comprobante de Pago del trámite
661,"Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.","Descuento a adultos mayores, personas con capacidades diferentes, pensionados y jubilados.",100,1466,2151,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado del Sistema Valle del Mezquital,Presencial,Calle 27 Segunda Demarcación 42660 Tepatepec Francisco I. Madero,,,,,,,Otro,Social,2108,0,,1,VERDADERO,,,0,0,1,,,,Interesado,
1245,Examen de admisión de CONALEPH,Examen de admisión de CONALEPH,100,1778,2095,Secretaría de Educación Pública,Colegio de Educación Profesional Técnica del Estado de Hidalgo,Presencial,Calle 4.5 Parque Industrial CANACINTRA 42083 El Saucillo Mineral De La Reforma,,dias,28,16,10,Nivel 1,Examen,Social,2095,25,7,,VERDADERO,,,0,0,,,,,Interesado | Tutor | Padres,Certificado original de Secundaria o constancia de Estudios de tercer grado | Comprobante de Domicilio | Fotografías del solicitante | Acta de nacimiento | Clave Única de Registro de Población (CURP) | Certificado Médico | Comprobante de Pago del trámite
1260,"Publicaciones en el Periódico Oficial, que se realizan por una Plana y Media Plana.","Publicaciones en el Periódico Oficial, que se realizan por plana y media plana.",74.07407407,950,1921,Secretaría de Gobierno,Secretaría de Gobierno,Presencial,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,30,min,2965,2820,3015,Nivel 1,Otro,Ambos,1200,10,1,,VERDADERO,,,1,1,,,,,Representante legal | Interesado,Registro Federal de Contribuyentes (RFC)
1233,Inscripción UTHH,Inscripción UTHH,100,1211,1834,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,Presencial,Carretera s/n Tepoxteco 43000 Huejutla De Reyes Huejutla De Reyes,20,min,1797,1832,1848,Nivel 1,Inscripción,Social,1832,0,4,2,VERDADERO,16.21,17.40,0,0,0,,,,Interesado,Acta de nacimiento | Clave Única de Registro de Población (CURP) | Certificado de Bachillerato | Pago de derechos
1504,Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,Expedición Tarjeta Preferente Tuzobús para la Persona Adulta Mayor,100,2841,1764,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Presencial,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,20,min,1911,1764,1457,Nivel 1,Credencial,Social,1764,0,6,1,VERDADERO,,,0,0,0,,,,Interesado,"Acta de nacimiento | Credencial del Instituto Nacional de las Personas Adultas Mayores (INAPAM) | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Comprobante de Domicilio | Formato | Comprobante de Pago del trámite"
1184,Admisión UPT,Admisión UPT,100,1047,1725,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Presencial,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,15,min,1367,1729,1819,Nivel 3.7,Otro,Social,1184,0,2,,VERDADERO,,,,,,1,1,,Interesado,Pago del examen correspondiente | Constancia de estudios
1505,Reposición de la Tarjeta Preferente Tuzobús,Reposición de la Tarjeta Preferente Tuzobús,100,1038,1648,Secretaría de Movilidad y Transporte,Sistema de Transporte Masivo de Hidalgo,Presencial,Calle S/N Venta Prieta 42083 Pachuca De Soto Pachuca De Soto,20,min,1592,1648,2266,Nivel 1,Credencial,Social,1648,0,4,1,VERDADERO,,,0,0,0,,,,Interesado,"Credencial vigente otorgada por el DIF ó el CRIH que acredite la discapacidad o Certificado médico. En formato original. | Credencial del Instituto Nacional de las Personas Adultas Mayores (INAPAM). Original. | Identificación Oficial (IFE, INE o Pasaporte Vigente) | Pago del trámite."
10974,Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,100,222,1418,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,Presencial,Calle 517 Centro 42000 Pachuca De Soto Pachuca De Soto,,dias,,,,,Certificación,Ambos,1418,0,1,1,VERDADERO,"1,411.00",,0,0,0,,,,Otro,FORMATO F7
670,Cursos musicales EMEH,Cursos musicales EMEH,100,2341,1402,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,Presencial,Calle 201 Centro 42000 Pachuca De Soto Pachuca De Soto,,,,,,,Inscripción,Social,130,27,1,,VERDADERO,,,1,0,,,,,Interesado | Tutor | Padres,Comprobante de Pago del trámite
1205,Inscripción UPT,Inscripción UPT,100,1187,1325,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Presencial,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,10,min,6536,6972,7338,Nivel 4.1,Inscripción,Social,1386,0,11,,VERDADERO,16.13,71.96,,,,1,1,,Interesado,Certificado de Bachillerato | Certificado de Licenciatura | Título profesional | Cédula Profesional | Cédula Profesional | Acta de nacimiento | Clave Única de Registro de Población (CURP) | Comprobante de Domicilio | Formato de asignación o localización de número de seguridad social | Certificado de Maestría | Título profesional
